layer,probe_accuracy,probe_f1,probe_auc,mean_diff_accuracy,random_accuracy,direction_cosine_sim
0,0.8208955223880597,0.8235294117647058,0.8798019801980198,0.7661691542288557,0.5024875621890548,0.326939030108331
1,0.845771144278607,0.8502415458937198,0.9115841584158415,0.8009950248756219,0.43781094527363185,0.3712010240700978
2,0.8905472636815921,0.8921568627450981,0.9437623762376237,0.7860696517412935,0.5223880597014925,0.44621047794431684
3,0.900497512437811,0.9019607843137255,0.9362376237623762,0.8059701492537313,0.4577114427860697,0.48576272176309354
4,0.8855721393034826,0.8866995073891626,0.9668316831683168,0.8557213930348259,0.527363184079602,0.5252735660223883
5,0.9402985074626866,0.9405940594059405,0.9794059405940594,0.8706467661691543,0.6019900497512438,0.5877675708072955
6,0.9353233830845771,0.9353233830845771,0.9798019801980198,0.8955223880597015,0.4577114427860697,0.6100054966747763
7,0.945273631840796,0.945273631840796,0.9812871287128713,0.8706467661691543,0.4626865671641791,0.645940719531996
8,0.9502487562189055,0.95,0.9915841584158416,0.8955223880597015,0.5323383084577115,0.6477486107010815
9,0.9701492537313433,0.97,0.9896039603960396,0.9303482587064676,0.46766169154228854,0.6341623432629386
10,0.9601990049751243,0.9603960396039604,0.9845049504950495,0.9353233830845771,0.48756218905472637,0.6528554890455928
11,0.9751243781094527,0.9753694581280788,0.9973267326732673,0.7810945273631841,0.472636815920398,0.4549680551083359
